State,City,County,Year,SO,NO,CO,O3,Latitude,Longitude
Arizona,Scottsdale,Maricopa,2000,2.30723023308,32.7029184455,0.954369007519,0.021331287594,33.420061,-111.792658
Arizona,Tucson,Pima,2000,2.2906502052,17.0770029364,0.420953803468,0.0272355635838,32.169577,-110.875093
California,Pittsburg,Contra Costa,2000,1.7246128526,13.312554964,0.523816808304,0.0215848401384,38.00307,-121.917219
California,Calexico,Imperial,2000,2.20881286859,19.0244283558,1.13370062179,0.0267729583333,32.946832,-115.518355
California,Bakersfield,Kern,2000,2.67141221429,30.8054481071,0.902906785714,0.01077425,35.483501,-119.007662
California,Hawthorne,Los Angeles,2000,1.64646813367,34.82509504,0.997768978556,0.0195062508935,33.786594,-118.298662
California,Costa Mesa,Orange,2000,1.82681015068,19.5673615315,0.806134569863,0.0259903315068,33.640302,-117.769442
California,Rubidoux,Riverside,2000,1.16165598507,21.8232316567,0.838754065672,0.0234006208955,33.9958669,-117.4262714
California,Arden-Arcade,Sacramento,2000,2.91311792802,14.5801834961,0.468191972763,0.0215768929961,38.600807,-121.377037
California,Victorville,San Bernardino,2000,1.42253942651,21.8137614236,0.390076636888,0.0314830720461,34.491985,-114.754916
California,San Diego,San Diego,2000,3.29901314568,20.3889288346,1.00271331673,0.0230472781955,32.709355,-117.232764
California,San Francisco,San Francisco,2000,2.36752335,20.3060439889,0.711723938889,0.0165840472222,37.784827,-122.727802
California,Vandenberg Air Force Base,Santa Barbara,2000,0.313996254684,5.56814539278,0.238966256072,0.0322307536433,34.75821,-120.516395
California,Davenport,Santa Cruz,2000,0.979968802292,4.54285918338,0.264180664756,0.0241864928367,37.097536,-122.24338
California,Vallejo,Solano,2000,1.52574529752,13.3296424105,0.635971490358,0.0170499283747,38.158221,-122.280383
California,Not in a city,Ventura,2000,1.73703017403,13.8262750635,0.271162861878,0.0209642348066,34.330829,-119.358352
Colorado,Welby,Adams,2000,2.15784209615,14.8680395549,0.607571175824,0.0170765,39.872535,-105.034487
District Of Columbia,Washington,District of Columbia,2000,8.09430112397,22.7152050496,1.17015482645,0.0176043112948,38.911936,-77.016719
Florida,Winter Park,Orange,2000,1.96965659718,12.4465680085,0.722573746479,0.0262699774648,28.602327,-81.35874
Illinois,Calumet City (PU RR name Calumet Park (sta.)),Cook,2000,6.02070954339,26.4316786117,0.699582007112,0.0171278876245,41.811929,-87.68732
Indiana,Indianapolis (Remainder),Marion,2000,7.40329889759,15.1926762349,0.863318879518,0.0299430542169,39.762392,-86.143736
Kansas,Not in a city,Linn,2000,0.611710667702,3.50049348758,0.606748906832,0.0327573819876,38.089756,-95.007693
Kansas,Not in a city,Sumner,2000,0.150086403226,3.42196480645,0.214634580645,0.0401900967742,37.248959,-97.690887
Kansas,Kansas City,Wyandotte,2000,1.35794159544,16.5066833818,0.981853367521,0.0250463561254,39.145049,-94.688896
Kentucky,Ashland,Boyd,2000,6.92866269583,14.1690554583,0.150801941667,0.0290795875,38.43296,-82.693914
Kentucky,Not in a city,Daviess,2000,3.89848718834,10.1007902242,0.0117456098655,0.0302488834081,37.751818,-87.257303
Kentucky,Lexington-Fayette (corporate name for Lexington),Fayette,2000,5.15335082464,11.5561941754,0.137667966825,0.0302171800948,38.016674,-84.486043
Kentucky,Henderson,Henderson,2000,5.36878393562,16.667857382,0.220816905579,0.0254426480687,37.807173,-87.599052
Kentucky,Louisville,Jefferson,2000,5.66763692308,12.2182639593,0.447076556561,0.0255979864253,38.188962,-85.676819
Kentucky,Paducah,McCracken,2000,1.6233745431,10.9284144353,0.0982389310345,0.0328655862069,37.031586,-88.713292
Louisiana,Baton Rouge,East Baton Rouge,2000,3.6532941863,17.3084379178,0.754198290411,0.0237570630137,30.44924,-91.185607
Michigan,Detroit,Wayne,2000,5.40196024157,22.6665545056,0.269406758427,0.0235158426966,42.239933,-83.150823
Missouri,St. Ann,Saint Louis,2000,3.93057850186,16.2593208231,0.488240553073,0.0277701657356,38.627003,-90.199402
Missouri,St. Louis,St. Louis City,2000,5.06253619355,19.69405453,0.665486695853,0.0279565023041,38.627003,-90.199402
New Jersey,Camden,Camden,2000,6.232174493,20.5170813669,0.581888708683,0.0203105406162,39.950912,-75.118869
New York,New York,Bronx,2000,8.86714385833,27.892780975,0.674270983333,0.0167166583333,40.819329,-73.920355
New York,New York,Queens,2000,6.4482715481,25.8239273499,0.575558154519,0.0186295626822,40.75,-73.866667
New York,Holtsville,Suffolk,2000,6.67016659155,17.3465794817,0.201790552113,0.0269444816901,40.922326,-72.637078
North Carolina,Winston-Salem,Forsyth,2000,1.74023755556,11.6314814444,0.517105388889,0.0245625555556,36.101817,-80.28762
